7787 shows imported
G ------
 s6744  |       Movie  |                                                                                              The Pass  |                  2016  |               NR  |               87 min.
 s6828  |       Movie  |                                                                                       The River Thief  |                  2016  |               NR  |               87 min.
 s7162  |       Movie  |                                                                                      Total Frat Movie  |                  2016  |               NR  |               94 min.
 s2454  |       Movie  |                                                                                            God of War  |                  2017  |               NR  |              129 min.
 s7413  |       Movie  |                                                                                       Viceroy's House  |                  2017  |               NR  |              106 min.
  s318  |       Movie  |                                                                           Adventures in Public School  |                  2018  |               NR  |               86 min.
PG ------
 s1415  |       Movie  |                                                                                       Cleopatra Jones  |                  1973  |               PG  |               89 min.
  s393  |       Movie  |                                                                       Alice Doesn't Live Here Anymore  |                  1974  |               PG  |              112 min.
 s4208  |       Movie  |                                                                       Monty Python and the Holy Grail  |                  1975  |               PG  |               92 min.
 s3705  |       Movie  |                                                                                           Logan's Run  |                  1976  |               PG  |              118 min.
 s5245  |       Movie  |                                                                                                 Rocky  |                  1976  |               PG  |              120 min.
 s5739  |       Movie  |                                                                                               Sparkle  |                  1976  |               PG  |               98 min.
  s154  |       Movie  |                                                                                      A Bridge Too Far  |                  1977  |               PG  |              176 min.
 s6199  |       Movie  |                                                                                               The Car  |                  1977  |               PG  |               96 min.
 s2523  |       Movie  |                                                                                                Grease  |                  1978  |               PG  |              110 min.
 s5247  |       Movie  |                                                                                              Rocky II  |                  1979  |               PG  |              119 min.
 s4910  |       Movie  |                                                                                                Popeye  |                  1980  |               PG  |              114 min.
 s2993  |       Movie  |                                                         Indiana Jones and the Raiders of the Lost Ark  |                  1981  |               PG  |              116 min.
 s5248  |       Movie  |                                                                                             Rocky III  |                  1982  |               PG  |              100 min.
 s6267  |       Movie  |                                                                                      The Dark Crystal  |                  1982  |               PG  |               93 min.
 s2994  |       Movie  |                                                                  Indiana Jones and the Temple of Doom  |                  1984  |               PG  |              119 min.
 s6699  |       Movie  |                                                                                           The Natural  |                  1984  |               PG  |              138 min.
 s5249  |       Movie  |                                                                                              Rocky IV  |                  1985  |               PG  |               92 min.
 s1576  |       Movie  |                                                                                                   Dad  |                  1989  |               PG  |              117 min.
 s3666  |       Movie  |                                                                                       Little Monsters  |                  1989  |               PG  |              102 min.
 s6016  |       Movie  |                                                               Teenage Mutant Ninja Turtles: The Movie  |                  1990  |               PG  |               94 min.
 s2800  |       Movie  |                                                                                                  Hook  |                  1991  |               PG  |              142 min.
 s6015  |       Movie  |                                               Teenage Mutant Ninja Turtles II: The Secret of the Ooze  |                  1991  |               PG  |               88 min.
 s2854  |       Movie  |                                                                                           Howards End  |                  1992  |               PG  |              143 min.
 s5847  |       Movie  |                                                                                     Strictly Ballroom  |                  1992  |               PG  |               95 min.
 s2276  |       Movie  |                                                                                            Free Willy  |                  1993  |               PG  |              112 min.
 s5450  |       Movie  |                                                                           Searching for Bobby Fischer  |                  1993  |               PG  |              110 min.
 s6361  |       Movie  |                                                                                       The Flintstones  |                  1994  |               PG  |               91 min.
 s6706  |       Movie  |                                                                                   The Next Karate Kid  |                  1994  |               PG  |              107 min.
 s3077  |       Movie  |                                                                                          It Takes Two  |                  1995  |               PG  |              101 min.
 s6490  |       Movie  |                                                                            The Indian in the Cupboard  |                  1995  |               PG  |               96 min.
 s6356  |       Movie  |                                                                                  The First Wives Club  |                  1996  |               PG  |              103 min.
 s2477  |       Movie  |                                                                                           Good Burger  |                  1997  |               PG  |               96 min.
 s5303  |       Movie  |                                                                                         Runaway Bride  |                  1999  |               PG  |              116 min.
 s5858  |       Movie  |                                                                                         Stuart Little  |                  1999  |               PG  |               85 min.
 s1852  |       Movie  |                                                                          Dragonheart: A New Beginning  |                  2000  |               PG  |               84 min.
 s2840  |       Movie  |                                                                        How the Grinch Stole Christmas  |                  2000  |               PG  |              105 min.
 s5683  |       Movie  |                                                                                              Snow Day  |                  2000  |               PG  |               89 min.
 s6362  |       Movie  |                                                                    The Flintstones in Viva Rock Vegas  |                  2000  |               PG  |               91 min.
 s3522  |       Movie  |                                                                                                Lagaan  |                  2001  |               PG  |              224 min.
 s5774  |       Movie  |                                                                                              Spy Kids  |                  2001  |               PG  |               88 min.
 s7210  |       Movie  |                                                                         Tremors 3: Back to Perfection  |                  2001  |               PG  |              104 min.
  s251  |       Movie  |                                                                                    A Walk to Remember  |                  2002  |               PG  |              102 min.
  s904  |       Movie  |                                                                                          Big Fat Liar  |                  2002  |               PG  |               88 min.
 s5775  |       Movie  |                                                                 Spy Kids 2: The Island of Lost Dreams  |                  2002  |               PG  |              100 min.
 s5859  |       Movie  |                                                                                       Stuart Little 2  |                  2002  |               PG  |               78 min.
 s1579  |       Movie  |                                                                                        Daddy Day Care  |                  2003  |               PG  |               93 min.
 s1842  |       Movie  |                                                                         Dr. Seuss' The Cat in the Hat  |                  2003  |               PG  |               82 min.
 s2379  |       Movie  |                                                                                George of the Jungle 2  |                  2003  |               PG  |               87 min.
 s5776  |       Movie  |                                                                                 Spy Kids 3: Game Over  |                  2003  |               PG  |               83 min.
